index,name,line
166,Reverse Giraffe,"I know we all have beloved memories of Rick, but are we really supposed to believe that a mad scientist inventor with a flying car just showed up on our doorstep after being gone for years?"
167,Morty,"Yeah, you know, he does have a lot of really weird, made-up sounding catchphrases."
168,Rick,"Wubba lubba dub dub! Ricky ticky tavi, beyotch! And that's the"
169,(cut back to the present) All,( muttering ) That's a fake-ass catchphrase right there.
170,Beth,And don't forget his incredibly vague back story.
171,Rick,"Beth, I'm your father!"
172,Beth,"Oh, are you, dad? Are you?"
173,Morty,"Rick, if you want to prove you're real, just do what any of the rest of us would do and -- and -- and open the blast shields and let us the hell out of here!"
174,Rick,"Why don't you make me, implausibly naive pubescent boy with an old Jewish comedy writer's name?"
175,Mrs. Refrigerator,In your face!
176,Morty,"Give me the gun. (Looks at everyone else) I'm not doing this in front of Pencilvester. Bring him to the garage. ( all cheering ) All right, you listen to me, you son of a bitch parasite scum. We could either do this the easy way or the hard way. You know, y-y-y-- do you want to live? Then open the blast shield doors."
177,Rick,"Shut up, Morty, you brainwashed, little turd that might not even be real because I'm brainwashed, too."
178,Morty,"You know, Rick, this isn't easy for us. You know, w-we all remember you as a friend."
179,Rick,"Oh, oh, oh, really? Well, I remember you as a whiny, little piece of shit, Morty!"
180,Morty,"Oh -- oh, yeah?"
181,Rick,"Yeah! I've got about a thousand memories of your dumb little ass and about six of them are pleasant. The rest is annoying garbage. So why don't you do us both a favor and pull the trigger? Do it! Do it, motherfucker! Pull the fucking trigger!"
182,Duck with Muscles,"Oh, wow. Baby Wizard was a parasite? He set me up with my wife. (Morty shoots the duck, parasite screeches )"
183,Rick,What the hell?
184,Morty,"I figured it out, Rick! The parasites can only create pleasant memories. I know you're real because I have a ton of bad memories with you!"
185,Rick,"Holy crap, Morty, you're right."
186,Morty,Is -- is -- isn't that what you were trying to make me understand by yelling at me?
187,Rick,"Well, yeah, duh-doy. T-took you long enough. (Rick turns the dial on the washing machine, the wall draws back to reveal a set of guns)"
188,Rick,"Now let's go, Morty. We got a lot of friends and family to exterminate. ( grunts )"
189,Morty,Everybody remain calm! This is
190,Rick,We need to kill everyone that we can only remember fondly. Who's got a bad memory about Mrs. Refrigerator?
191,Mrs Refrigerator,"I-I-I-I -- everyone has bad memories of me. You remember that one time? (flashback, Beth, Jerry, Mrs. Refrigerator and a lot of other people on a roller coaster, screaming, cut back to the present) Ooh, man, we couldn't stop screaming."
192,Beth,"Uh, roller coasters aren't bad, Mrs. Refrigerator. They're thrilling. And you've been a perfect companion to me my entire life."
193,Mrs Refrigerator,"The jig is up! ( whimpering ) get me out of here. Get me out of here! Aah! ( screeching ) ( all gasping ) Oh, shit!"
194,Rick,"Everybody back! If you're not a parasite, you have nothing to fear. What about Summer?"
195,Summer,Why am I always your go-to?
196,(Morty flashes back,Morty is hosing the backyard. Summer comes outside behind Morty and kicks him between the legs. Morty grabs his crotch and falls over in pain.)
197,Summer,Never go in my room again.
198,Morty,I didn't!
199,Morty,She's real. She's my bitch of a sister.
200,Summer,Nice.
201,(Summer flashes back,Summer walks into her parents' room wearing a dress and earrings with her hair done.)
202,Summer,"Mom, are you driving me to --"
203,Beth,"Hmm? Yeah, yeah, yes. What time?"
204,Summer,"Oh, my god. Are you drunk?"
205,Beth,"(belches) (slurring) What're you, my life coach?"
206,Summer,Your what?
207,Summer,"Oh! God! Oh. Oh, my gosh. Oh! God! Mom!"
208,Beth,"Sweetheart, are you okay? I didn't mean to --"
209,Summer,I'm gonna have a bruise! It's picture day!
210,Beth,"It's not, don't overreact. I can clean it up."
211,Summer,(sobs) I want the police to take me!
212,Summer,"Morty, give a gun to the lady that got pregnant with me too early and constantly makes it our problem."
213,Beth,"Thank you, sweetie."
214,Cross Teddy Bear,"Beth, Beth, please!"
215,Beth,"I thought it was too good to be true that we'd have compatible kidneys. (shoots the bear, parasite screeches ) ( guns cock ) ( screaming ) ( blasting ) ( screeching )"
216,Rick,"(Corners Pencilvester) Come on, man. Haven't we ever had an uncomfortable silence or an awkward fart on a road trip? Come on, Pencilvester. Give me anything."
217,Pencilvester,"Rick, I'm Pencilvester. Listen to that name. You can't kill me."
218,Rick,You're right. (To Morty) Kill Pencilvester.
219,Tinkles,"Summer, I've always loved you!"
220,Summer,"Yep. (Shoots Tinkles, parasite screeches ) ( all gasp, Summer shoots ) ( more screeching ) (Morty shouts)"
221,(Summer flashes back,"Summer walks into the kitchen and turns on the light, and sees Morty masturbating.)"
222,Summer,"Oh, my god!"
223,Morty,I-I-I thought you went to a concert!
224,Summer,We forgot the tickets! Why in the kitchen?!
225,Morty,I do it everywhere! Stop shaming me!
226,Summer,You're not the victim here!
227,Morty,"I hate you, and I was thinking about your friend Grace!"
228,Summer,Aaaaaah!
229,Mr. Beauregard,"Ah. Master Rick. Remember when you weren't going to shoot me? (Rick shoots Mr. Beauregard, parasite screeches )"
230,Rick,I guess I did the butler! Ha ha! Does -- d-does that scan?
231,Ghost in a Jar,"Oh, I-I get it. It's a play on ""the butler did it."""
232,Rick,"Thanks, ghost in a jar. You always were good at pointing out potentially obscure comedy. (shoots ghost in a jar, parasite screeches ) ( screeches )"
233,Jerry,"You got to hide me, Sleepy Gary."
234,Sleepy Gary,"Don't worry. I have a plan. If we can get to my boat, there's a -- (Beth shoots Sleepy Gary, Gary slowly turns back into a parasite, screeches )"
235,Jerry,No. No! Send me to Gary. I want to be with Gary.
236,(Beth flashes back,"Jerry and Beth are running from a homeless man toward their car. Jerry makes it to the car first, gets in and locks the doors. Beth is holding groceries and tries to open the locked car door.)"
237,Beth,Whoa. What the hell?
238,Jerry,Look out for that homeless guy!
239,Beth,Open the door! Open the door! Open the door!
240,Jerry,There isn't time! Just run!
241,Beth,( grunts ) Get out here and help me!
242,Jerry,They say you shouldn't do that! Just run!
243,Beth,"Ugh. Sorry, Jerry. You're real."
244,Jerry,( crying ) I'm a parasite!
245,Beth,"Yeah, but you're real."
246,Jerry,(tries to kiss Beth)
247,Beth,"Uh, uh, I need time to forget about Sleepy Gary."
248,Jerry,"Me, too."
249,Rick,"From now on, let's all be careful to wash our hands when we get back from outer space. That goes for everyone."
250,Jerry,This is depressing. We killed every good person in the house. We're what's left? What a family.
251,Rick,"At least we're real, Jerry. We're real. Rikki tikki tavi!"
252,Mr. Poopybutthole,"Ooh, whee! Amen to that. Now, this little poopypants is hungry. Will somebody pass me a pork chop? ( chomping )"
253,Mr. Poopybutthole,"Huh. I-is -- is something wrong, Beth?"
254,Rick,"No, Beth!"
255,Mr. Poopybutthole,"Oh, fuck."
256,Beth,"Wait, but I --"
257,Mr. Poopybutthole,"Oh, Beth! Why?!"
258,Jerry,"I need an ambulance! There's been a shooting. My wife shot... Uh, my -- my wife shot a long-time family friend."
259,Mr. Poopybutthole,Why?
260,Summer,"Oh, my god, oh, my god, oh, my god, Mr. Poopybutthole."
261,Beth,I-I thought --
262,Morty,Keep breathing!
263,Mr. Poopybutthole,"Oh, god. What's happening?"
264,Morty,Look at me! Look at me! Don't -- don't fall asleep!
265,Mr. Poopybutthole,"Is -- is this what bleeding to death is? Oh, whee. Is this how I die?"
266,Rick,"Oh, geez! Oh, my god!"
267,Mr. Poopybutthole,"Why would you do this? Beth. It's not supposed to hurt. I-I thought... ( siren wails ) Ooh, whee."
268,Beth,"Oh, he -- he's looking a lot better."
269,Rick,"Listen, Beth, don't torture yourself. I made a similar mistake years ago, but, you know, on a planetary scale."
270,Beth,"Is, um, is he mad at me?"
271,Rick,"He's not pressing charges. I mean, that's got to be the ""you shot me"" equivalent of not being mad."
272,Beth,Can he have visitors?
273,Doctor,"He'd like to be alone. He told me to tell you he's sorry you didn't have bad memories of him? If you love him, you should leave. ( door closes )"
274,Rick,(Smiles) And that's the wa-a-a-a-y the news goes.
